Description,Designator,Quantity,LCSC

"CAPACITOR,CERAMIC,470nF,250V,X7R,1210, CAPACITOR,CERAMIC,2pF,250V,C0G,0805,HIQ, CAPACITOR,CERAMIC,12pF,50V,C0G,0603, DIODE,SCHOTTKY,150V,1A,10MQ150N,DO214AC(SMA), LED,TH,GREEN,42mCd,3MM, CONN,BNC,RA, RESISTOR,1M,1%,125mW,0805, RESISTOR,12K,1%,100mW,0603 (1608), RES,TRIM,SMD,100R, RESISTOR,1K2,1%,100mW,0603 (1608), RES,TRIM,SMD,10K, PMIC,BOOST,LM2733,SOT23-5","C1, C2, C3, C4, C7, C8, C9, C10, D1, D2, D3, D4, D5, D6, J2, R2, R4, R5, R6, R10, U1","21",""
"CAPACITOR,CERAMIC,10uF,25V,X5R,0805","C5, C6, C11, C12","4","C3039694"
"CAPACITOR,CERAMIC,1nF,250V,X7R,0603","C13","1","C277510"
"FERRITE,1KZ@100MHz,0R2DC,0603","FB1","1","C160982"
"CONN,USB-C,16P,RA,TH,8.94X9.17","J1","1","C36936564"
"IND,10uH,1.2A,3X3, LQH3NPZ100MMEL","L1","1","C701168"
"","Q1","1",""
"RESISTOR,5K1,1%,100mW,0603 (1608)","R1, R8","2","C105580"
"RESISTOR,1K,1%,100mW,0603 (1608)","R3","1","C22548"
"RESISTOR,4K7,1%,100mW,0603 (1608)","R7","1","C99782"
"RESISTOR,10K,1%,100mW,0603 (1608)","R9","1","C98220"
