Altium Designer Pick and Place Locations
C:\GitHub\Jim-Williams-PulseGenerator\Version 3\.\Production\Pulsegen\Pick Place for JWpulsegen-V3.txt

========================================================================================================================
File Design Information:

Date:       08/07/25
Time:       17:29
Revision:   fe358127e72ba71046ef29e62172e760d88936b1
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                  
R10        TRIMMER-BOURNS-TC33X-2-103G TopLayer    TRIMMER-BOURNS-TC33     -1202.805     375.815       90       RES,TRIM,SMD,10K                             
C13        CAP0603                     BottomLayer CAPC0603                -1312.008     253.937       270      CAPACITOR,CERAMIC,1nF,250V,X7R,0603          
D6         LED-3MM-GREEN               TopLayer    LED-3MM-GREEN           -1385.827     377.953       270      LED,TH,GREEN,42mCd,3MM                       
FB1        FB0603                      BottomLayer FB0603                  -1257.087     647.638       180      FERRITE,1KZ@100MHz,0R2DC,0603                
C12        CAP0805                     BottomLayer CAPC0805                -1284.449     584.051       0        CAPACITOR,CERAMIC,10uF,25V,X5R,0805          
C11        CAP0805                     BottomLayer CAPC0805                -1284.449     505.114       0        CAPACITOR,CERAMIC,10uF,25V,X5R,0805          
C8         CAPC-1210-470nF-250V-X7R    BottomLayer CAPC1210                -1148.732     147.044       90       CAPACITOR,CERAMIC,470nF,250V,X7R,1210        
R5         TRIMMER-BOURNS-TC33X-2-101E TopLayer    TRIMMER-BOURNS-TC33     679.134       269.685       90       RES,TRIM,SMD,100R                            
C10        CAP0603                     TopLayer    CAPC0603                638.779       26.575        90       CAPACITOR,CERAMIC,12pF,50V,C0G,0603          
J2         731000105                   TopLayer    CONN-MOLEX-7310000105   1437.988      -0.003        0        CONN,BNC,RA                                  
C2         CAP0805                     TopLayer    CAPC0805                952.756       -118.110      0        CAPACITOR,CERAMIC,2pF,250V,C0G,0805,HIQ      
C9         CAP0805                     TopLayer    CAPC0805                952.756       118.110       0        CAPACITOR,CERAMIC,2pF,250V,C0G,0805,HIQ      
D5         10MQ150N                    BottomLayer DO214AC                 -944.008      -388.390      0        DIODE,SCHOTTKY,150V,1A,10MQ150N,DO214AC(SMA) 
D4         10MQ150N                    BottomLayer DO214AC                 -944.008      -254.531      180      DIODE,SCHOTTKY,150V,1A,10MQ150N,DO214AC(SMA) 
D3         10MQ150N                    BottomLayer DO214AC                 -944.008      -120.673      0        DIODE,SCHOTTKY,150V,1A,10MQ150N,DO214AC(SMA) 
D2         10MQ150N                    BottomLayer DO214AC                 -944.008      13.185        180      DIODE,SCHOTTKY,150V,1A,10MQ150N,DO214AC(SMA) 
D1         10MQ150N                    BottomLayer DO214AC                 -944.008      147.390       0        DIODE,SCHOTTKY,150V,1A,10MQ150N,DO214AC(SMA) 
U1         LM2733                      BottomLayer SOT23-5                 -1121.173     382.704       90       PMIC,BOOST,LM2733,SOT23-5                    
R9         RESC0603                    TopLayer    RESC0603                803.150       -275.591      270      "RESISTOR,10K,1%,100mW,0603 (1608)"          
R8         RESC0603                    TopLayer    RESC0603                -1377.953     -236.220      0        "RESISTOR,5K1,1%,100mW,0603 (1608)"          
C7         CAPC-1210-470nF-250V-X7R    BottomLayer CAPC1210                -1148.732     -321.461      270      CAPACITOR,CERAMIC,470nF,250V,X7R,1210        
C6         CAP0805                     BottomLayer CAPC0805                -1121.398     505.114       180      CAPACITOR,CERAMIC,10uF,25V,X5R,0805          
C5         CAP0805                     BottomLayer CAPC0805                -1121.173     584.051       180      CAPACITOR,CERAMIC,10uF,25V,X5R,0805          
C4         CAPC-1210-470nF-250V-X7R    BottomLayer CAPC1210                -1148.732     -53.744       270      CAPACITOR,CERAMIC,470nF,250V,X7R,1210        
C3         CAPC-1210-470nF-250V-X7R    BottomLayer CAPC1210                -739.283      -187.602      270      CAPACITOR,CERAMIC,470nF,250V,X7R,1210        
C1         CAPC-1210-470nF-250V-X7R    BottomLayer CAPC1210                -739.283      80.114        270      CAPACITOR,CERAMIC,470nF,250V,X7R,1210        
R3         RESC0603                    BottomLayer RESC0603                -1479.300     542.770       270      "RESISTOR,1K,1%,100mW,0603 (1608)"           
R7         RESC0603                    BottomLayer RESC0603                -1251.097     127.358       270      "RESISTOR,4K7,1%,100mW,0603 (1608)"          
LOGO2      LOGO-LICENSE-CC             BottomLayer LOGO-LICENSE-CC         -7383.936     -9334.959     180      ""                                           
LOGO1      LOGO-LICENSE-CC0-PUBLIC     BottomLayer LOGO-LICENSE-CC0-PUBLIC -7383.936     -9334.959     180      ""                                           
L1         10uH                        BottomLayer IND-MURATA-LQH3NPZ      -968.504      382.874       270      "IND,10uH,1.2A,3X3, LQH3NPZ100MMEL"          
Q1         2N2369-JW                   TopLayer    SPECIAL-2N2369-JW       896.149       -95.000       0        ""                                           
R6         RESC0603                    BottomLayer RESC0603                -1250.984     365.158       90       "RESISTOR,1K2,1%,100mW,0603 (1608)"          
R4         RESC0603                    BottomLayer RESC0603                -1250.984     253.937       270      "RESISTOR,12K,1%,100mW,0603 (1608)"          
R1         RESC0603                    TopLayer    RESC0603                -1377.953     236.220       0        "RESISTOR,5K1,1%,100mW,0603 (1608)"          
R2         RESC0805                    TopLayer    RESC0805                -1113.693     -515.748      0        RESISTOR,1M,1%,125mW,0805                    
J1         CONN-USBC-USB2-HOR          TopLayer    CONN-GCT-USB4085        -1443.110     0.000         270      CONN,USB-C,16P,RA,TH,8.94X9.17               
